DIVISION,SEX,EVENT,SLOPE,R_VAL,P_VAL,STD_ERR,2021_PRED,2021_ACTUAL,PERCENT_DIFF
D3,Men,3000S,-0.08658727272724277,-0.14382706814003024,0.6918062422494433,0.210634434534261,563.4228527272729,571.2057999999998,1.3813687597251723
D1,Women,400,-0.08307878787878577,-0.9175240934347468,0.00018308054204268893,0.012730974389545858,52.60378787878787,52.75460000000001,0.28669441364117987
D1,Men,400,-0.03504787878787869,-0.8776472133197614,0.0008437232192371264,0.006767226265723423,46.1362587878788,46.10639999999999,-0.0647187020865683
D2,Women,400,-0.09214060606060687,-0.8775471623165699,0.0008463799713435482,0.01779981379583046,55.51470606060607,56.33839999999997,1.4837400714950406
D2,Men,400,-0.041666666666667525,-0.9126212542237728,0.00022925567358113392,0.0065988852747027316,47.65258666666669,48.15939999999998,1.0635589141854564
D3,Women,400,-0.04701757575757748,-0.5298781269611776,0.11517541228501112,0.02660558996615525,57.11445575757574,57.93439999999999,1.4356159601774559
D3,Men,400,-0.026958787878787447,-0.6912432591383758,0.02684002449049876,0.009964045962237105,48.43816787878788,48.821799999999996,0.7920037813406173
D1,Women,400H,-0.04128969696969918,-0.5970518097402056,0.06839265698019356,0.019614118301136404,58.32525696969695,58.59660000000001,0.4652238916736102
D1,Men,400H,-0.022006666666665786,-0.4382613506786536,0.20519256151105597,0.015957400930115655,51.214866666666666,51.09319999999998,-0.23756122896610213
D2,Women,400H,-0.16484787878787907,-0.9433414742295296,4.209212503072014e-05,0.02050107505971902,61.3917187878788,63.006899999999966,2.630943136975775
D2,Men,400H,-0.07393090909090694,-0.8033428566368197,0.005122366637761905,0.019376446424281178,53.167649090909094,53.850599999999986,1.2845234287548482
D3,Women,400H,-0.08027818181818198,-0.776643245278637,0.008233134321226385,0.023021341374422015,63.45278181818182,65.40800000000002,3.081375041082827
D3,Men,400H,-0.018741818181820923,-0.4897043336490451,0.15081072501634396,0.011797602525273319,54.32057818181817,55.13890000000001,1.5064674301565875
D1,Women,4x100,-0.05988121212121179,-0.8544453359942088,0.0016411063041190646,0.01287304794726959,44.14511212121214,44.46259999999998,0.7191914654471752
D1,Men,4x100,-0.05012545454545729,-0.8758957327733677,0.0008911189298223042,0.009762445556861888,39.52333454545452,39.6844,0.40751990285698964
D2,Women,4x100,-0.06720848484848375,-0.819847472281647,0.0036849096182437267,0.016595247131771452,46.51776484848486,47.083099999999995,1.215310222570914
D2,Men,4x100,-0.030734545454543887,-0.7317410131463479,0.016147188299882608,0.010121456547583313,40.986105454545466,41.24749999999999,0.6377638044786037
D3,Women,4x100,-0.08708242424242377,-0.773629482504023,0.008652431923892298,0.025217027181478432,47.88810424242425,48.51739999999999,1.3140961989016144
D3,Men,4x100,-0.06259393939393945,-0.9154025104690887,0.0002021264867957787,0.009731593423491943,41.55329939393938,41.9743,1.0131580697585227
D1,Women,4x400,-0.24781757575758018,-0.830297968702213,0.002940558799182619,0.058810863296590694,214.24317575757578,215.17889999999997,0.43675801533253655
D1,Men,4x400,-0.12233333333333696,-0.7687735178725557,0.00935942925924369,0.03597959752948638,186.45885333333328,186.81990000000005,0.19363342647040824
D2,Women,4x400,-0.240649696969708,-0.5985666850695733,0.0675132367279085,0.11386752188293628,227.75077696969691,230.59830000000002,1.250280270473888
D2,Men,4x400,-0.10729636363635936,-0.6624977187249568,0.03685249218729556,0.04289182331678182,193.68620363636362,195.47490000000005,0.9235022061739734
D3,Women,4x400,-0.21722484848483842,-0.36009178561059185,0.3067363201364934,0.1989730451139278,234.15880848484863,237.92789999999997,1.609630463846169
D3,Men,4x400,-0.15009818181818663,-0.5174309012305965,0.12558559006865108,0.08776316823173214,196.4119818181818,199.07010000000002,1.3533380994438717
D1,Women,5000,-1.4531642424242104,-0.8514257323657572,0.0017747773482566108,0.31648117662325326,958.2735224242429,952.1107,-0.6431172603676015
D1,Men,5000,-0.2953709090909081,-0.7572207436719742,0.011203631474506252,0.09007809075245268,831.1280090909091,821.9372999999998,-1.1058114983950715
D2,Women,5000,-1.8321866666666555,-0.797484720058649,0.00571704169546294,0.49007647549369243,1024.6042266666668,1027.7302000000002,0.3050908098928179
D2,Men,5000,-0.8030957575757267,-0.8962478827537018,0.00044652235217770055,0.14052067715591354,869.4607175757578,856.0244000000004,-1.5453622347908706
D3,Women,5000,-1.1862333333332957,-0.6665069860612459,0.0353251318282268,0.4691020856741617,1041.6886933333335,1061.4664,1.8986196925474146
D3,Men,5000,-0.6997006060606007,-0.7224296835155576,0.01828048537045635,0.23677123278429635,878.5466460606062,883.8179999999996,0.600008430176144
D1,Women,800,-0.11734787878787506,-0.9237536102648964,0.00013475795656349445,0.017201188995144046,125.34153878787882,124.96430000000002,-0.3009686904492322
D1,Men,800,-0.05673030303030434,-0.563531085339229,0.08979720170347573,0.029402357363810742,108.33884303030302,108.40309999999998,0.05931110938574715
D2,Women,800,-0.3304781818181801,-0.9254160377016345,0.000123637443819308,0.04784601760964199,131.03938181818182,133.38130000000007,1.7871865307390367
D2,Men,800,-0.13824121212121057,-0.9034516122889362,0.000337856382796428,0.023191619433269896,111.42943212121219,111.8516,0.3788656827476122
D3,Women,800,-0.023085454545456102,-0.15095795816444665,0.6772022995895678,0.05344803602913486,134.29633454545456,135.4539,0.8619486588843968
D3,Men,800,-0.02534484848485115,-0.2577577409617896,0.4721465589694668,0.03358956092482005,112.83956848484846,113.21490000000001,0.3326240255889986
