CHAMP_YEAR,DIVISION,EVENT,SEX,TIME_SECS_AVG,TIME_SECS_SCALED,TREAT,AFTER,TREAT_AFTER
2012,D1,200,Women,23.43610000000002,0.9965641729989928,0,False,0
2013,D1,200,Women,23.39820000000001,0.994952566026985,0,False,0
2014,D1,200,Women,23.343899999999994,0.9926435882280398,0,False,0
2015,D1,200,Women,23.320599999999992,0.991652811382452,0,False,0
2016,D1,200,Women,23.179500000000004,0.9856528709141085,0,False,0
2017,D1,200,Women,23.0688,0.980945617832282,0,False,0
2018,D1,200,Women,23.05619999999999,0.9804098329286591,0,False,0
2019,D1,200,Women,23.221000000000007,0.9874175592871509,0,False,0
2021,D1,200,Women,23.180200000000013,0.9856826367420879,0,True,0
2010,D1,3000S,Men,533.9709999999999,1.0,1,False,0
2011,D1,3000S,Men,534.7191000000001,1.0014010124145323,1,False,0
2012,D1,3000S,Men,534.2329,1.0004904760745434,1,False,0
2013,D1,3000S,Men,534.2110000000001,1.0004494626112659,1,False,0
2014,D1,3000S,Men,534.331,1.0006741939168984,1,False,0
2015,D1,3000S,Men,531.5527000000001,0.9954711023632373,1,False,0
2016,D1,3000S,Men,530.5111,0.9935204346303455,1,False,0
2017,D1,3000S,Men,533.7441,0.9995750705562664,1,False,0
2018,D1,3000S,Men,533.9309000000002,0.9999249022887016,1,False,0
2019,D1,3000S,Men,532.3514000000001,0.9969668764783111,1,False,0
2021,D1,3000S,Men,527.5473999999999,0.9879701332094815,1,True,1
2010,D1,3000S,Women,627.8093,1.0,1,False,0
2011,D1,3000S,Women,625.1673000000001,0.9957917157327871,1,False,0
2012,D1,3000S,Women,620.0576,0.9876527792754901,1,False,0
2013,D1,3000S,Women,621.4186,0.989820635024043,1,False,0
2014,D1,3000S,Women,617.8174,0.9840844982704143,1,False,0
2015,D1,3000S,Women,616.1311000000001,0.9813984915483094,1,False,0
2016,D1,3000S,Women,615.6247999999999,0.9805920364671246,1,False,0
2017,D1,3000S,Women,616.3110999999997,0.9816852028155678,1,False,0
2018,D1,3000S,Women,615.7143,0.9807345956805673,1,False,0
2019,D1,3000S,Women,615.8524999999997,0.9809547262202069,1,False,0
2021,D1,3000S,Women,606.4839,0.9660320418955245,1,True,1
2010,D1,400,Men,46.4797,1.0,0,False,0
2011,D1,400,Men,46.45840000000001,0.9995417354242823,0,False,0
2012,D1,400,Men,46.39000000000001,0.9980701252374694,0,False,0
2013,D1,400,Men,46.526399999999995,1.0010047397035693,0,False,0
2014,D1,400,Men,46.46120000000002,0.999601976776959,0,False,0
2015,D1,400,Men,46.387100000000004,0.9980077324079115,0,False,0
2016,D1,400,Men,46.29459999999999,0.9960176162927038,0,False,0
2017,D1,400,Men,46.22870000000001,0.9945997930279242,0,False,0
2018,D1,400,Men,46.2061,0.994113559252749,0,False,0
2019,D1,400,Men,46.208500000000015,0.9941651946979007,0,False,0
2021,D1,400,Men,46.10639999999999,0.9919685368020875,0,True,0
2010,D1,400,Women,53.6444,1.0,0,False,0
2011,D1,400,Women,53.503599999999985,0.9973753085130971,0,False,0
2012,D1,400,Women,53.26590000000001,0.9929442775014728,0,False,0
2013,D1,400,Women,53.20870000000001,0.9918779965849186,0,False,0
2014,D1,400,Women,53.1611,0.9909906719061077,0,False,0
2015,D1,400,Women,52.97319999999998,0.9874879763777762,0,False,0
2016,D1,400,Women,52.95089999999998,0.9870722759505184,0,False,0
2017,D1,400,Women,53.044200000000025,0.9888115068860874,0,False,0
2018,D1,400,Women,52.74370000000001,0.9832098038192246,0,False,0
2019,D1,400,Women,52.94230000000002,0.9869119609875405,0,False,0
2021,D1,400,Women,52.75460000000001,0.9834129937141624,0,True,0
2010,D1,400H,Men,51.322999999999986,1.0,0,False,0
2011,D1,400H,Men,51.43889999999997,1.002258246789938,0,False,0
2012,D1,400H,Men,51.36000000000001,1.0007209243419133,0,False,0
2013,D1,400H,Men,51.70860000000002,1.0075132007092342,0,False,0
2014,D1,400H,Men,51.369200000000006,1.000900181205308,0,False,0
2015,D1,400H,Men,51.18160000000001,0.9972448999473925,0,False,0
2016,D1,400H,Men,51.43309999999999,1.002145237028233,0,False,0
2017,D1,400H,Men,51.328399999999995,1.000105215985036,0,False,0
2018,D1,400H,Men,51.20320000000001,0.9976657638875362,0,False,0
2019,D1,400H,Men,51.233099999999986,0.9982483486935682,0,False,0
2021,D1,400H,Men,51.09319999999998,0.99552247530347,0,True,0
2010,D1,400H,Women,58.977500000000035,1.0,0,False,0
2011,D1,400H,Women,58.776199999999996,0.9965868339621036,0,False,0
2012,D1,400H,Women,58.62640000000001,0.994046882285617,0,False,0
2013,D1,400H,Women,58.64280000000001,0.9943249544317744,0,False,0
2014,D1,400H,Women,58.5586,0.9928972913399171,0,False,0
2015,D1,400H,Women,58.489699999999985,0.9917290492136823,0,False,0
2016,D1,400H,Women,58.21629999999999,0.987093383069814,0,False,0
2017,D1,400H,Women,58.536200000000015,0.9925174854817512,0,False,0
2018,D1,400H,Women,58.3984,0.9901810012292818,0,False,0
2019,D1,400H,Women,58.714299999999994,0.9955372811665458,0,False,0
2021,D1,400H,Women,58.59660000000001,0.9935416048493065,0,True,0
2010,D1,4x100,Men,40.042,1.0,0,False,0
2011,D1,4x100,Men,39.99440000000001,0.9988112481894014,0,False,0
2012,D1,4x100,Men,39.8838,0.9960491483941861,0,False,0
2013,D1,4x100,Men,40.099100000000014,1.0014260026971682,0,False,0
2014,D1,4x100,Men,39.8929,0.9962764097697416,0,False,0
2015,D1,4x100,Men,39.89460000000001,0.9963188651915491,0,False,0
2016,D1,4x100,Men,39.772699999999986,0.9932745617102039,0,False,0
2017,D1,4x100,Men,39.639500000000005,0.9899480545427303,0,False,0
2018,D1,4x100,Men,39.592699999999994,0.988779281754158,0,False,0
2019,D1,4x100,Men,39.67979999999997,0.990954497777333,0,False,0
2021,D1,4x100,Men,39.6844,0.9910693771539882,0,True,0
2010,D1,4x100,Women,44.866700000000016,1.0,0,False,0
2011,D1,4x100,Women,44.581100000000006,0.9936344772403585,0,False,0
2012,D1,4x100,Women,44.60280000000002,0.9941181321559198,0,False,0
2013,D1,4x100,Women,44.8093,0.9987206547394835,0,False,0
2014,D1,4x100,Women,44.5974,0.993997775633153,0,False,0
2015,D1,4x100,Women,44.60530000000001,0.9941738527683113,0,False,0
2016,D1,4x100,Women,44.42370000000001,0.9901263074841696,0,False,0
2017,D1,4x100,Women,44.26920000000002,0.9866827736383554,0,False,0
2018,D1,4x100,Women,44.243300000000005,0.9861055080939759,0,False,0
2019,D1,4x100,Women,44.34460000000002,0.9883633073080927,0,False,0
2021,D1,4x100,Women,44.46259999999998,0.9909933202129857,0,True,0
2010,D1,4x400,Men,187.56830000000002,1.0,0,False,0
2011,D1,4x400,Men,187.58870000000002,1.000108760382218,0,False,0
2012,D1,4x400,Men,187.61339999999996,1.0002404457469622,0,False,0
2013,D1,4x400,Men,188.05800000000002,1.0026107823123631,0,False,0
2014,D1,4x400,Men,187.28479999999993,0.998488550570645,0,False,0
2015,D1,4x400,Men,187.387,0.999033418759993,0,False,0
2016,D1,4x400,Men,186.74839999999998,0.9956287922852634,0,False,0
2017,D1,4x400,Men,186.56910000000005,0.9946728738278271,0,False,0
2018,D1,4x400,Men,186.70189999999994,0.9953808825905013,0,False,0
2019,D1,4x400,Men,187.02059999999997,0.997079996993095,0,False,0
2021,D1,4x400,Men,186.81990000000005,0.9960099867621556,0,True,0
2010,D1,4x400,Women,217.32380000000003,1.0,0,False,0
2011,D1,4x400,Women,216.97580000000013,0.998398702765183,0,False,0
2012,D1,4x400,Women,216.1964999999999,0.994812809273535,0,False,0
2013,D1,4x400,Women,216.4513000000001,0.9959852533408676,0,False,0
2014,D1,4x400,Women,215.43130000000002,0.9912917959284716,0,False,0
2015,D1,4x400,Women,216.04849999999996,0.9941317978058544,0,False,0
2016,D1,4x400,Women,214.4496999999999,0.9867750333833656,0,False,0
2017,D1,4x400,Women,215.13730000000007,0.9899389758507814,0,False,0
2018,D1,4x400,Women,215.09639999999996,0.9897507774114015,0,False,0
2019,D1,4x400,Women,215.42930000000007,0.9912825930708005,0,False,0
2021,D1,4x400,Women,215.17889999999997,0.9901303952903453,0,True,0
2010,D1,5000,Men,833.8463000000004,1.0,1,False,0
2011,D1,5000,Men,834.0276999999999,1.00021754608733,1,False,0
2012,D1,5000,Men,833.1030000000002,0.999108588717129,1,False,0
2013,D1,5000,Men,834.6534999999997,1.0009680441107662,1,False,0
2014,D1,5000,Men,833.6480999999997,0.9997623063147241,1,False,0
2015,D1,5000,Men,832.7811,0.9987225463493687,1,False,0
2016,D1,5000,Men,832.405,0.9982715039930016,1,False,0
2017,D1,5000,Men,833.6889000000003,0.9998112361954474,1,False,0
2018,D1,5000,Men,831.0865000000002,0.9966902773328847,1,False,0
2019,D1,5000,Men,831.2390999999999,0.9968732846808812,1,False,0
2021,D1,5000,Men,821.9372999999998,0.9857179914331927,1,True,1
2010,D1,5000,Women,976.0531999999996,1.0,1,False,0
2011,D1,5000,Women,975.4522999999997,0.9993843573280637,1,False,0
2012,D1,5000,Women,970.9899,0.9948124753855634,1,False,0
2013,D1,5000,Women,966.0398999999999,0.9897410305094029,1,False,0
2014,D1,5000,Women,963.9159000000001,0.9875649196170869,1,False,0
2015,D1,5000,Women,966.1322999999995,0.9898356974804241,1,False,0
2016,D1,5000,Women,969.9143,0.9937104862726749,1,False,0
2017,D1,5000,Women,964.4822000000001,0.9881451134016062,1,False,0
2018,D1,5000,Women,963.1632000000001,0.986793752635615,1,False,0
2019,D1,5000,Women,961.0476999999998,0.9846263502850052,1,False,0
2021,D1,5000,Women,952.1107,0.9754700870813193,1,True,1
2010,D1,800,Men,108.94490000000003,1.0,1,False,0
2011,D1,800,Men,109.0111,1.0006076466176936,1,False,0
2012,D1,800,Men,108.74160000000003,0.9981339190728524,1,False,0
2013,D1,800,Men,109.14869999999999,1.0018706704031117,1,False,0
2014,D1,800,Men,108.85960000000001,0.9992170354004637,1,False,0
2015,D1,800,Men,108.37799999999996,0.9947964521514997,1,False,0
2016,D1,800,Men,108.18919999999999,0.9930634660273217,1,False,0
2017,D1,800,Men,108.41909999999996,0.995173707075778,1,False,0
2018,D1,800,Men,108.62970000000001,0.9971067943520071,1,False,0
2019,D1,800,Men,108.75400000000005,0.998247738076771,1,False,0
2021,D1,800,Men,108.40309999999998,0.9950268438449156,1,True,1
2010,D1,800,Women,126.88690000000003,1.0,1,False,0
2011,D1,800,Women,126.59609999999995,0.9977081952510458,1,False,0
2012,D1,800,Women,126.19919999999998,0.9945802127721612,1,False,0
2013,D1,800,Women,126.19870000000003,0.9945762722550555,1,False,0
2014,D1,800,Women,126.10430000000005,0.9938323026254091,1,False,0
2015,D1,800,Women,125.88140000000001,0.9920756200994744,1,False,0
2016,D1,800,Women,125.85130000000002,0.9918384009696825,1,False,0
2017,D1,800,Women,125.78230000000003,0.9912946096090298,1,False,0
2018,D1,800,Women,125.87160000000006,0.9919983859641935,1,False,0
2019,D1,800,Women,125.67119999999998,0.9904190267080365,1,False,0
2021,D1,800,Women,124.96430000000002,0.9848479236233212,1,True,1
2010,D2,100,Men,10.672899999999997,1.0,0,False,0
2011,D2,100,Men,10.619499999999995,0.994996673818737,0,False,0
2012,D2,100,Men,10.629299999999994,0.9959148872377701,0,False,0
2013,D2,100,Men,10.578400000000004,0.9911457991736086,0,False,0
2014,D2,100,Men,10.636899999999999,0.9966269711137556,0,False,0
2015,D2,100,Men,10.591600000000001,0.9923825764318981,0,False,0
2016,D2,100,Men,10.56039999999999,0.9894592847304851,0,False,0
2017,D2,100,Men,10.545400000000003,0.9880538560278842,0,False,0
2018,D2,100,Men,10.5579,0.9892250466133856,0,False,0
2019,D2,100,Men,10.560000000000004,0.9894218066317503,0,False,0
2021,D2,100,Men,10.5528,0.988747200854501,0,True,0
2010,D2,100,Women,12.131900000000009,1.0,0,False,0
2011,D2,100,Women,11.994399999999999,0.988666243539758,0,False,0
2012,D2,100,Women,12.035799999999997,0.9920787345757868,0,False,0
2013,D2,100,Women,11.988300000000002,0.9881634368895221,0,False,0
2014,D2,100,Women,12.000499999999997,0.989169050189994,0,False,0
2015,D2,100,Women,11.954600000000003,0.9853856362152668,0,False,0
2016,D2,100,Women,11.971800000000005,0.9868033861142934,0,False,0
2017,D2,100,Women,11.885899999999987,0.9797228793511303,0,False,0
2018,D2,100,Women,11.899899999999992,0.9808768618270826,0,False,0
2019,D2,100,Women,11.853399999999992,0.9770439914605283,0,False,0
2021,D2,100,Women,11.870299999999991,0.9784370131636415,0,True,0
2010,D2,10000,Men,1861.0979,1.0,1,False,0
2011,D2,10000,Men,1859.8950000000002,0.9993536610836002,1,False,0
2012,D2,10000,Men,1852.0053000000003,0.9951143892000525,1,False,0
2013,D2,10000,Men,1850.5337999999995,0.9943237268711117,1,False,0
2014,D2,10000,Men,1841.6165999999992,0.9895323615162852,1,False,0
2015,D2,10000,Men,1851.5525999999998,0.9948711456823415,1,False,0
2016,D2,10000,Men,1836.0833000000005,0.9865592239935366,1,False,0
2017,D2,10000,Men,1840.8063000000006,0.989096973351053,1,False,0
2018,D2,10000,Men,1855.461099999999,0.9969712501421871,1,False,0
2019,D2,10000,Men,1843.0343999999996,0.9902941699090626,1,False,0
2021,D2,10000,Men,1810.6479000000002,0.9728923448895408,1,True,1
2010,D2,10000,Women,2236.7898,1.0,1,False,0
2011,D2,10000,Women,2236.3961000000004,0.9998239888254141,1,False,0
2012,D2,10000,Women,2225.0970999999995,0.9947725530579581,1,False,0
2013,D2,10000,Women,2218.4692999999997,0.991809467299967,1,False,0
2014,D2,10000,Women,2222.7968999999994,0.9937442043056524,1,False,0
2015,D2,10000,Women,2209.7878000000005,0.9879282353665957,1,False,0
2016,D2,10000,Women,2200.1628000000005,0.9836251935698207,1,False,0
2017,D2,10000,Women,2199.8556000000003,0.9834878538877458,1,False,0
2018,D2,10000,Women,2208.0476,0.9871502454097385,1,False,0
2019,D2,10000,Women,2214.5885999999996,0.990074525554435,1,False,0
2021,D2,10000,Women,2209.3667,0.9877399744938036,1,True,1
2010,D2,100H,Women,14.531700000000003,1.0,0,False,0
2011,D2,100H,Women,14.449499999999999,0.9943434009785501,0,False,0
2012,D2,100H,Women,14.330199999999996,0.98613376273939,0,False,0
2013,D2,100H,Women,14.276099999999992,0.9824108672763675,0,False,0
2014,D2,100H,Women,14.388200000000005,0.9901250369881021,0,False,0
2015,D2,100H,Women,14.250500000000002,0.9806492014010749,0,False,0
2016,D2,100H,Women,14.269600000000004,0.9819635693002197,0,False,0
2017,D2,100H,Women,14.183299999999997,0.9760248284784295,0,False,0
2018,D2,100H,Women,14.229599999999998,0.9792109663700734,0,False,0
2019,D2,100H,Women,14.2635,0.9815437973533722,0,False,0
2021,D2,100H,Women,14.356900000000003,0.9879711251952629,0,True,0
2010,D2,110H,Men,14.843600000000002,1.0,0,False,0
2011,D2,110H,Men,14.732000000000003,0.992481608235199,0,False,0
2012,D2,110H,Men,14.642299999999999,0.9864385998005872,0,False,0
2013,D2,110H,Men,14.645100000000005,0.986627233285726,0,False,0
2014,D2,110H,Men,14.686399999999994,0.9894095771915163,0,False,0
2015,D2,110H,Men,14.510899999999998,0.9775862998194506,0,False,0
2016,D2,110H,Men,14.603700000000003,0.9838381524697514,0,False,0
2017,D2,110H,Men,14.577699999999995,0.9820865558220373,0,False,0
2018,D2,110H,Men,14.539800000000012,0.9795332668624869,0,False,0
2019,D2,110H,Men,14.548799999999996,0.980139588779002,0,False,0
2021,D2,110H,Men,14.518799999999999,0.9781185157239481,0,True,0
2010,D2,1500,Men,233.42010000000002,1.0,1,False,0
2011,D2,1500,Men,233.58080000000007,1.0006884582775863,1,False,0
2012,D2,1500,Men,232.20229999999992,0.9947827971969848,1,False,0
2013,D2,1500,Men,232.86270000000002,0.9976120308405317,1,False,0
2014,D2,1500,Men,231.94209999999993,0.9936680688595365,1,False,0
2015,D2,1500,Men,231.29320000000007,0.9908881026098441,1,False,0
2016,D2,1500,Men,230.93919999999997,0.9893715237033998,1,False,0
2017,D2,1500,Men,230.61800000000002,0.9879954639724685,1,False,0
2018,D2,1500,Men,231.246,0.9906858920889846,1,False,0
2019,D2,1500,Men,231.19200000000012,0.9904545495439343,1,False,0
2021,D2,1500,Men,228.67629999999997,0.9796769858294121,1,True,1
2010,D2,1500,Women,277.06180000000006,1.0,1,False,0
2011,D2,1500,Women,276.4059999999999,0.997633019059285,1,False,0
2012,D2,1500,Women,275.43390000000005,0.9941244155636034,1,False,0
2013,D2,1500,Women,276.30389999999994,0.9972645092177986,1,False,0
2014,D2,1500,Women,275.2249,0.9933700712259862,1,False,0
2015,D2,1500,Women,273.5266,0.9872403918548133,1,False,0
2016,D2,1500,Women,273.5124,0.9871891397514921,1,False,0
2017,D2,1500,Women,272.69920000000013,0.9842540545105823,1,False,0
2018,D2,1500,Women,272.79650000000004,0.9846052396974249,1,False,0
2019,D2,1500,Women,273.8000000000001,0.9882271753089025,1,False,0
2021,D2,1500,Women,272.5786,0.9838187725626555,1,True,1
2010,D2,200,Men,21.504,1.0,0,False,0
2011,D2,200,Men,21.47149999999999,0.9984886532738089,0,False,0
2012,D2,200,Men,21.493100000000005,0.999493117559524,0,False,0
2013,D2,200,Men,21.405200000000008,0.9954055059523812,0,False,0
2014,D2,200,Men,21.4533,0.9976422991071427,0,False,0
2015,D2,200,Men,21.442499999999995,0.9971400669642855,0,False,0
2016,D2,200,Men,21.340799999999994,0.9924107142857139,0,False,0
2017,D2,200,Men,21.320700000000006,0.991476004464286,0,False,0
2018,D2,200,Men,21.313599999999997,0.9911458333333332,0,False,0
2019,D2,200,Men,21.275799999999993,0.989388020833333,0,False,0
2021,D2,200,Men,21.354100000000003,0.9930292038690477,0,True,0
2010,D2,200,Women,24.798000000000012,1.0,0,False,0
2011,D2,200,Women,24.6143,0.992592144527784,0,False,0
2012,D2,200,Women,24.613300000000013,0.992551818695056,0,False,0
2013,D2,200,Women,24.537600000000015,0.9894991531575128,0,False,0
2014,D2,200,Women,24.5975,0.9919146705379461,0,False,0
2015,D2,200,Women,24.457499999999985,0.9862690539559631,0,False,0
2016,D2,200,Women,24.479999999999986,0.9871763851923532,0,False,0
2017,D2,200,Women,24.362100000000005,0.9824219695136702,0,False,0
2018,D2,200,Women,24.442700000000016,0.9856722316315834,0,False,0
2019,D2,200,Women,24.3372,0.9814178562787317,0,False,0
2021,D2,200,Women,24.479899999999994,0.9871723526090806,0,True,0
2010,D2,3000S,Men,564.6561999999999,1.0,1,False,0
2011,D2,3000S,Men,566.1686000000001,1.0026784439806031,1,False,0
2012,D2,3000S,Men,560.5642000000003,0.9927531124248709,1,False,0
2013,D2,3000S,Men,565.7625999999999,1.0019594223883488,1,False,0
2014,D2,3000S,Men,563.3216000000001,0.9976364378891088,1,False,0
2015,D2,3000S,Men,556.5706,0.9856804901814593,1,False,0
2016,D2,3000S,Men,559.1146000000001,0.9901858865624785,1,False,0
2017,D2,3000S,Men,556.8216999999999,0.9861251855553874,1,False,0
2018,D2,3000S,Men,558.2301999999997,0.9886196237639822,1,False,0
2019,D2,3000S,Men,558.1777,0.9885266468339496,1,False,0
2021,D2,3000S,Men,555.1945000000001,0.9832434320211133,1,True,1
2010,D2,3000S,Women,680.0171999999999,1.0,1,False,0
2011,D2,3000S,Women,683.6944,1.0054075102806224,1,False,0
2012,D2,3000S,Women,674.2016,0.9914478633775735,1,False,0
2013,D2,3000S,Women,680.3419000000001,1.0004774879223646,1,False,0
2014,D2,3000S,Women,670.8405,0.9865051942803802,1,False,0
2015,D2,3000S,Women,664.7810000000001,0.9775943902595408,1,False,0
2016,D2,3000S,Women,661.4088999999999,0.9726355451009181,1,False,0
2017,D2,3000S,Women,659.6671000000001,0.9700741393011827,1,False,0
2018,D2,3000S,Women,662.4162999999999,0.9741169782176098,1,False,0
2019,D2,3000S,Women,663.25,0.9753429766188269,1,False,0
2021,D2,3000S,Women,671.4186000000002,0.9873553198360281,1,True,1
2010,D2,400,Men,48.09350000000001,1.0,0,False,0
2011,D2,400,Men,48.128099999999996,1.0007194319398667,0,False,0
2012,D2,400,Men,47.93660000000003,0.9967376048738398,0,False,0
2013,D2,400,Men,47.96979999999999,0.9974279268508214,0,False,0
2014,D2,400,Men,48.05590000000002,0.999218189568237,0,False,0
2015,D2,400,Men,47.91780000000001,0.9963466996579579,0,False,0
2016,D2,400,Men,47.811899999999994,0.994144738894029,0,False,0
2017,D2,400,Men,47.80399999999999,0.9939804755320361,0,False,0
2018,D2,400,Men,47.755700000000004,0.9929761818125109,0,False,0
2019,D2,400,Men,47.760900000000014,0.9930843045317974,0,False,0
2021,D2,400,Men,48.15939999999998,1.001370247538648,0,True,0
